"TOTAL_AREA","PID","CITY_CODE","PROP_NAME","SITUS","CITY_SITUS","ZIP_SITUS","county","latitude","longitude","location_type","good","building_type"
"282324898100010","7","ORL","UNIVERSAL STUDIOS PARKING GARAGES","5855 UNIVERSAL BLVD","ORLANDO","32819","","28.47391128540039","-81.4615478515625","ROOFTOP","1","commercial"
"282430000000001","5","BAY","WDW EPCOT CENTER","1300 AVENUE OF THE STARS","BAY LAKE","32830","","28.375011444091797","-81.54949188232422","ROOFTOP","1","commercial"
"282401715001000","4","ORG","ORANGE COUNTY CONVENTION CENTER","9800 INTERNATIONAL DR","ORLANDO","32819","","28.42367172241211","-81.47067260742188","ROOFTOP","1","commercial"
"312203000000005","3","ORG","UNIVERSITY OF CENTRAL FLORIDA","4000 CENTRAL FLORIDA BLVD","ORLANDO","32816","","28.60289192199707","-81.20320129394531","ROOFTOP","1","commercial"
"282401716001001","2","ORG","PEABODY","9801 INTERNATIONAL DR","ORLANDO","32819","","28.427608489990234","-81.46873474121094","ROOFTOP","1","commercial"
"282433513401000","2","ORG","MARRIOTT WORLD CENTER RESORT","8701 WORLD CENTER DR","ORLANDO","32821","","28.36041259765625","-81.5103988647461","ROOFTOP","1","commercial"
"272436000000003","2","BAY","WDW-DISNEY'S HOLLYWOOD STUDIOS","14351 NORTH SOUTH RD","BAY LAKE","32830","","28.557140350341797","-81.91092681884766","RANGE_INTERPOLATED","0","commercial"
"272431000000001","2","ORG","GRANDE PALISADES RESORT @ LAKE AUSTIN RESERVE","14210 AVALON RD","ORLANDO","34787","","28.361501693725586","-81.6495361328125","ROOFTOP","1","commercial"
"292331000000001","2","ORG","LOCKHEED/MARTIN MARIETTA - SAND LAKE","5600 W SAND LAKE RD","ORLANDO","32819","","28.446487426757812","-81.45516967773438","ROOFTOP","1","commercial"
"272411000000001","1","BAY","WDW MAGIC KINGDOM","1200 MONORAIL WAY","BAY LAKE","32830","","28.392154693603516","-81.53221130371094","APPROXIMATE","1","commercial"
"282432082603000","1","ORG","HILTON/WALDORF ORLANDO BONNET CREEK","14100 BONNET CREEK RESORT LN","ORLANDO","32821","","28.354591369628906","-81.53423309326172","ROOFTOP","1","commercial"
"282420000000008","1","LBV","WDW PORT ORLEANS RESORT","1251 DIXIE DR","LAKE BUENA VISTA","32830","","28.38582420349121","-81.53547668457031","ROOFTOP","1","commercial"
"292406000000009","1","ORG","SHINGLE CREEK RESORT","9939 UNIVERSAL BLVD","ORLANDO","32819","","28.42571449279785","-81.4345932006836","ROOFTOP","1","commercial"
"282401355700010","1","ORG","HILTON ORLANDO","6001 DESTINATION PKWY","ORLANDO","32819","","28.42461395263672","-81.45960998535156","ROOFTOP","1","commercial"
"282401715402030","1","ORG","ROSEN CENTRE","9840 INTERNATIONAL DR","ORLANDO","32819","","28.42344856262207","-81.46434783935547","ROOFTOP","1","commercial"
